103|2023-08-05 16:00:00+00|1|3|5|1.2000|1.0000|5|0.8000|2.2000
103|2023-08-06 15:00:00+00|0|2|5|2.0000|2.0000|5|0.8000|1.6000
103|2023-08-06 15:00:00+00|1|2|5|1.0000|1.4000|5|1.4000|1.2000
103|2023-08-06 15:00:00+00|4|0|5|1.6000|1.6000|5|0.4000|1.2000
103|2023-08-06 15:00:00+00|5|1|5|1.6000|3.4000|5|2.6000|3.0000
103|2023-08-06 15:00:00+00|3|1|5|1.4000|0.6000|6|2.3333|1.1667
103|2023-08-06 17:15:00+00|3|2|5|2.0000|0.4000|5|2.2000|1.4000
103|2023-08-12 14:00:00+00|2|2|6|2.1667|3.0000|5|2.8000|0.6000
103|2023-08-12 16:00:00+00|1|2|6|2.3333|3.3333|6|1.1667|1.3333
103|2023-08-13 15:00:00+00|1|3|7|2.1429|1.4286|6|2.1667|0.6667
103|2023-08-13 15:00:00+00|0|2|6|0.8333|2.1667|6|1.6667|2.0000
103|2023-08-13 17:15:00+00|1|1|6|1.1667|2.0000|6|1.0000|1.5000
103|2023-08-19 16:00:00+00|0|3|6|2.0000|1.3333|7|2.1429|3.1429
103|2023-08-19 16:00:00+00|0|0|6|2.6667|0.8333|7|1.1429|1.8571
103|2023-08-20 15:00:00+00|3|0|7|1.7143|1.7143|6|1.5000|1.1667
103|2023-08-20 15:00:00+00|1|0|7|2.2857|0.7143|6|0.3333|1.6667
103|2023-08-20 15:00:00+00|1|0|6|1.6667|0.6667|7|2.1429|2.8571
103|2023-08-20 15:00:00+00|5|1|6|1.0000|1.3333|7|0.7143|2.1429
103|2023-08-20 15:00:00+00|1|3|7|1.0000|1.4286|6|2.1667|1.6667
103|2023-08-20 17:15:00+00|1|2|7|1.2857|1.2857|8|2.0000|1.6250
119|2023-08-25 16:30:00+00|1|0|5|0.8000|2.8000|5|1.4000|1.6000
119|2023-08-26 14:00:00+00|1|3|5|2.6000|0.8000|5|1.4000|1.4000
103|2023-08-26 16:00:00+00|4|0|8|2.2500|2.7500|7|1.5714|0.5714
119|2023-08-27 12:00:00+00|1|0|5|1.4000|1.2000|5|1.6000|1.6000
119|2023-08-27 14:00:00+00|1|5|5|0.4000|1.4000|5|1.4000|1.6000
103|2023-08-27 15:00:00+00|0|0|8|1.8750|2.6250|8|1.0000|1.6250
103|2023-08-27 15:00:00+00|2|2|8|1.0000|1.6250|7|1.7143|1.5714
119|2023-08-27 16:00:00+00|3|0|5|3.0000|1.0000|5|1.2000|1.2000
103|2023-08-27 17:15:00+00|4|0|7|1.2857|1.4286|8|0.7500|2.5000
119|2023-08-28 17:00:00+00|0|1|5|1.0000|2.0000|5|1.6000|1.2000
119|2023-09-01 17:00:00+00|1|2|6|2.0000|1.5000|6|0.8333|1.8333
144|2023-09-01 18:45:00+00|3|0|5|1.0000|2.4000|5|0.8000|2.8000
144|2023-09-02 14:00:00+00|2|1|5|1.0000|0.4000|5|1.2000|2.2000
103|2023-09-02 16:00:00+00|1|1|8|2.1250|0.6250|9|1.1111|1.6667
144|2023-09-02 16:15:00+00|1|0|5|1.6000|1.0000|5|1.8000|1.8000
119|2023-09-03 12:00:00+00|1|1|6|1.3333|1.5000|6|3.0000|0.8333
119|2023-09-03 12:00:00+00|1|0|6|1.6667|1.3333|6|0.5000|2.0000
119|2023-09-03 14:00:00+00|3|1|6|1.5000|1.0000|6|0.8333|2.3333
103|2023-09-03 15:00:00+00|3|1|8|1.3750|1.0000|8|1.6250|1.2500
103|2023-09-03 15:00:00+00|3|2|8|1.7500|1.6250|9|1.6667|2.3333
103|2023-09-03 15:00:00+00|1|0|7|1.5714|1.2857|9|2.4444|2.4444
103|2023-09-03 15:00:00+00|1|1|9|0.6667|2.6667|9|2.0000|1.5556
103|2023-09-03 15:00:00+00|1|2|9|0.8889|1.4444|7|2.2857|0.7143
103|2023-09-03 15:00:00+00|2|1|8|1.2500|1.3750|7|0.2857|1.5714
119|2023-09-03 16:00:00+00|2|0|6|2.3333|1.1667|6|1.1667|1.5000
144|2023-09-03 17:15:00+00|1|1|5|0.6000|1.2000|5|0.8000|1.0000
103|2023-09-03 17:15:00+00|4|4|8|1.8750|1.5000|7|2.2857|1.5714
119|2023-09-03 18:00:00+00|1|1|6|1.0000|1.5000|6|1.3333|1.0000
119|2023-09-15 17:00:00+00|2|2|7|1.0000|1.5714|7|1.0000|1.4286
144|2023-09-15 18:45:00+00|0|3|6|1.1667|2.1667|5|2.0000|0.8000
144|2023-09-16 14:00:00+00|2|1|5|1.0000|2.6000|6|1.1667|0.5000
119|2023-09-16 14:00:00+00|2|2|7|2.7143|0.8571|7|2.2857|1.0000
103|2023-09-16 16:00:00+00|4|1|8|2.2500|0.7500|9|1.8889|1.6667
103|2023-09-16 16:00:00+00|0|2|10|0.9000|1.5000|9|2.0000|0.6667
103|2023-09-16 16:00:00+00|2|0|10|1.7000|2.4000|9|1.3333|1.3333
144|2023-09-16 16:15:00+00|0|2|5|2.0000|1.4000|5|1.2000|0.4000
144|2023-09-16 18:45:00+00|4|2|5|3.0000|0.8000|6|0.6667|1.1667
144|2023-09-17 11:30:00+00|1|3|6|1.5000|1.6667|6|0.5000|1.0000
119|2023-09-17 12:00:00+00|1|2|7|1.0000|1.7143|7|0.8571|2.4286
144|2023-09-17 14:00:00+00|2|2|6|0.6667|2.8333|6|1.1667|0.8333
119|2023-09-17 14:00:00+00|0|1|7|0.4286|1.8571|7|1.2857|1.4286
103|2023-09-17 15:00:00+00|3|1|10|2.2000|2.3000|10|1.9000|1.5000
103|2023-09-17 15:00:00+00|1|1|9|1.5556|1.4444|8|2.5000|1.8750
103|2023-09-17 15:00:00+00|2|1|9|1.5556|1.0000|9|2.1111|1.7778
103|2023-09-17 15:00:00+00|0|1|8|0.3750|1.6250|8|1.5000|1.1250
119|2023-09-17 16:00:00+00|0|3|7|1.2857|1.0000|7|1.7143|1.0000
144|2023-09-17 16:30:00+00|1|1|6|1.3333|2.0000|5|2.2000|1.2000
103|2023-09-17 17:15:00+00|3|1|10|1.1000|1.6000|10|0.7000|2.5000
144|2023-09-17 17:15:00+00|2|0|6|0.8333|1.0000|6|1.5000|0.8333
119|2023-09-18 17:00:00+00|0|3|7|1.8571|1.5714|7|1.5714|1.1429
119|2023-09-22 17:00:00+00|1|1|8|1.2500|1.2500|8|1.0000|1.7500
144|2023-09-22 18:45:00+00|0|0|7|0.8571|1.0000|7|1.0000|2.2857
144|2023-09-23 14:00:00+00|1|0|7|0.8571|1.5714|7|0.8571|2.7143
103|2023-09-23 16:00:00+00|1|1|11|0.7273|2.5455|9|0.3333|1.5556
144|2023-09-23 16:15:00+00|1|2|7|1.2857|1.0000|7|1.2857|1.8571
144|2023-09-23 18:45:00+00|0|0|6|2.1667|0.6667|6|1.1667|2.3333
144|2023-09-24 11:30:00+00|3|3|6|1.3333|0.3333|7|1.0000|0.8571
119|2023-09-24 12:00:00+00|2|3|8|1.8750|0.8750|8|2.2500|1.1250
